fname,label
00063640.wav,Keys_jangling Scissors Shatter
0013a1db.wav,Violin_or_fiddle Cowbell Flute
002bb878.wav,Computer_keyboard Knock Writing
002d392d.wav,Bass_drum Knock Drawer_open_or_close
00326aa9.wav,Oboe Clarinet Meow
0038a046.wav,Telephone Electric_piano Computer_keyboard
003995fa.wav,Telephone Squeak Chime
005ae625.wav,Saxophone Laughter Cello
007759c4.wav,Telephone Clarinet Flute
008afd93.wav,Saxophone Flute Trumpet
00a161c0.wav,Cello Acoustic_guitar Double_bass
00a7a2f6.wav,Clarinet Flute Gong
00ae03f6.wav,Chime Keys_jangling Telephone
00b2404e.wav,Cello Saxophone Double_bass
00beb030.wav,Clarinet Cello Saxophone
00c4d5b8.wav,Electric_piano Double_bass Acoustic_guitar
00c92c05.wav,Acoustic_guitar Telephone Electric_piano
00ccf065.wav,Bass_drum Knock Oboe
00d0ab77.wav,Clarinet Flute Cello
00dffe3a.wav,Bass_drum Knock Finger_snapping
00e33205.wav,Telephone Flute Clarinet
00e7ed07.wav,Saxophone Flute Trumpet
00eac343.wav,Cowbell Glockenspiel Clarinet
00f2f692.wav,Hi-hat Violin_or_fiddle Glockenspiel
0102a895.wav,Cello Double_bass Saxophone
010a0b3a.wav,Tambourine Shatter Keys_jangling
010eed01.wav,Gunshot_or_gunfire Bark Bass_drum
01115622.wav,Hi-hat Harmonica Scissors
01198b7e.wav,Clarinet Oboe Flute
01207ce5.wav,Finger_snapping Hi-hat Gunshot_or_gunfire
0137bfba.wav,Laughter Writing Computer_keyboard
014eb52e.wav,Flute Saxophone Oboe
01608fa3.wav,Bass_drum Knock Drawer_open_or_close
0169348e.wav,Trumpet Oboe Clarinet
016e52da.wav,Flute Saxophone Violin_or_fiddle
0183b482.wav,Acoustic_guitar Saxophone Electric_piano
0185de6b.wav,Double_bass Acoustic_guitar Electric_piano
01a5a2a3.wav,Bark Burping_or_eructation Cough
01aed32a.wav,Acoustic_guitar Electric_piano Saxophone
01afccc5.wav,Acoustic_guitar Electric_piano Cello
01b4cdb5.wav,Fart Laughter Squeak
01b85217.wav,Telephone Clarinet Flute
01bb344f.wav,Acoustic_guitar Electric_piano Double_bass
01bede12.wav,Trumpet Oboe Meow
01c9d6d3.wav,Flute Clarinet Saxophone
01e628cb.wav,Clarinet Flute Telephone
01e6e112.wav,Fart Laughter Harmonica
01e99e2d.wav,Cello Saxophone Flute
01eccb6e.wav,Telephone Clarinet Flute
01f27f99.wav,Burping_or_eructation Writing Chime
01f29edb.wav,Flute Cello Saxophone
01f9883e.wav,Laughter Telephone Cough
01fd22ba.wav,Bass_drum Computer_keyboard Knock
01fe4a01.wav,Tearing Scissors Squeak
02107093.wav,Bass_drum Knock Computer_keyboard
02182ebd.wav,Hi-hat Finger_snapping Scissors
02198549.wav,Keys_jangling Scissors Computer_keyboard
0220d48a.wav,Bass_drum Knock Double_bass
02210ee7.wav,Flute Saxophone Cello
022170df.wav,Clarinet Flute Saxophone
023431b2.wav,Trumpet Flute Violin_or_fiddle
023e7db3.wav,Flute Saxophone Clarinet
023eab1f.wav,Double_bass Electric_piano Acoustic_guitar
02482fdc.wav,Acoustic_guitar Violin_or_fiddle Cello
024e45b1.wav,Flute Cello Saxophone
026820e6.wav,Writing Computer_keyboard Tearing
02697329.wav,Bass_drum Computer_keyboard Finger_snapping
027a8b14.wav,Finger_snapping Hi-hat Gunshot_or_gunfire
027dbe3e.wav,Bass_drum Double_bass Knock
027f06cc.wav,Squeak Hi-hat Cough
028278f0.wav,Flute Acoustic_guitar Clarinet
028db587.wav,Double_bass Cello Knock
02960f07.wav,Finger_snapping Hi-hat Scissors
0298b2c6.wav,Flute Clarinet Gong
02a0eb3c.wav,Tearing Scissors Keys_jangling
