fname,label,correct
00044347.wav,39.0,0.0
002d256b.wav,3.0,0.0
003b91e8.wav,6.0,1.0
004ad66f.wav,8.0,1.0
0063ab88.wav,31.0,0.0
0075d39c.wav,31.0,0.0
00780200.wav,33.0,1.0
0079d310.wav,9.0,0.0
00ad7068.wav,26.0,1.0
00c5808a.wav,40.0,0.0
00c82919.wav,40.0,0.0
00c9e799.wav,29.0,1.0
00ce569f.wav,23.0,1.0
00d1fe46.wav,4.0,0.0
00d40fa2.wav,6.0,0.0
00d9fa61.wav,22.0,0.0
00fbb28b.wav,7.0,1.0
00fcbab2.wav,4.0,0.0
010aa387.wav,21.0,0.0
0120d246.wav,5.0,1.0
01235a12.wav,5.0,0.0
01302128.wav,26.0,0.0
013264d3.wav,9.0,0.0
013c3135.wav,8.0,1.0
01506d76.wav,31.0,1.0
015cf474.wav,8.0,1.0
01638f61.wav,15.0,0.0
017ea24e.wav,4.0,1.0
01811e48.wav,5.0,0.0
0184c390.wav,6.0,1.0
018863f5.wav,12.0,1.0
018a10bb.wav,14.0,0.0
018d1dc4.wav,24.0,0.0
0193042e.wav,17.0,1.0
01974c7c.wav,23.0,1.0
019aae9d.wav,1.0,0.0
01a36643.wav,24.0,0.0
01a39e95.wav,26.0,0.0
01a59a61.wav,12.0,0.0
01a5dc85.wav,0.0,0.0
01d2475c.wav,9.0,0.0
01df7ada.wav,31.0,0.0
01ec7a01.wav,31.0,0.0
021f8009.wav,2.0,0.0
022092bc.wav,7.0,0.0
02267a1a.wav,13.0,0.0
02274ee8.wav,4.0,1.0
0231b9f3.wav,14.0,0.0
02328c03.wav,26.0,0.0
0236dccb.wav,8.0,0.0
023d3434.wav,5.0,0.0
0244bb9e.wav,17.0,1.0
0259e5d2.wav,23.0,1.0
0262817d.wav,26.0,0.0
0266774c.wav,39.0,0.0
029632ad.wav,37.0,0.0
029b22f3.wav,15.0,0.0
02ac1057.wav,5.0,0.0
02c095b4.wav,36.0,1.0
02c9a1f1.wav,9.0,0.0
02d7fba3.wav,12.0,1.0
02dbfc78.wav,14.0,0.0
02f8e94d.wav,29.0,0.0
0313ea1a.wav,8.0,0.0
032f7280.wav,13.0,1.0
03320f05.wav,2.0,0.0
0338f669.wav,0.0,0.0
034beca1.wav,25.0,0.0
034e4ffa.wav,38.0,1.0
0350156b.wav,31.0,0.0
0356f2ab.wav,4.0,0.0
03586ad9.wav,11.0,1.0
03657d6d.wav,32.0,1.0
03734652.wav,7.0,0.0
0383c69d.wav,9.0,0.0
0395ba61.wav,29.0,1.0
03bc8fbc.wav,22.0,0.0
03cd971f.wav,11.0,1.0
03d00f38.wav,13.0,0.0
03d42e2e.wav,25.0,0.0
03e13ae7.wav,30.0,0.0
03e88255.wav,14.0,1.0
03e9765d.wav,33.0,0.0
03ed9ba8.wav,29.0,1.0
03f38c68.wav,16.0,0.0
04076350.wav,14.0,0.0
04092b14.wav,20.0,1.0
04281949.wav,35.0,0.0
0429828b.wav,17.0,1.0
